title,department,date,photo,description
AI Workshop,ECE,2023-06-07,static/images/workshops/w1.jpg,Inauguration of Three day workshop in association with makeintern & E-Cell IIT Kharagpur
Application of RS and GIS for hydrology and water management,civil,2019-07-22,static/images/workshops/w2.jpg,Continuing Education and Quality improvement programme for faculties of civil department
e-Surveying using Total Station,civil,2024-04-12,static/images/workshops/w3.jpg,Two days workshop in association with SSG Greenways Pvt.Ltd 
International Conference on Emerging Trends,Mechanical,2017-12-27,static/images/workshops/w4.jpg,Department of Mechanical Engineering
Internal Combustion Engines,Mechanical,2018-10-12,static/images/workshops/w4.jpg,Department of Mechanical Engineering has organized two days workshop in association with AJ Heuristic Bangalore
